id,split,lemma,number,case,form,rod_primary,vzor_primary,stem,suffix,stem_suffix_boundary,source_morphemes,source_morpheme_boundaries
34,simple_examples,pole,sg,D,poľu,n,V-more,poľ,u,[3],pol|e,[3]
35,simple_examples,miesto,sg,L,mieste,n,miesto,miest,e,[5],miest|o,[5]
36,simple_examples,štát,sg,N,štát,mi,zápas,štát,ø,[],štát,[]
37,simple_examples,priateľ,sg,A,priateľa,mp,priateľ,priateľ,a,[7],pria|teľ,[4]
38,simple_examples,mesto,pl,L,mestách,n,mesto,mest,ách,[4],mest|o,[4]
39,simple_examples,ulica,sg,A,ulicu,f,ulica,ulic,u,[4],ulic|a,[4]
40,simple_examples,hrad,pl,D,hradom,mi,zápas,hrad,om,[4],hrad,[]
41,simple_examples,výsledok,sg,I,výsledkom,mi,výsledok,výsledk,om,[7],vý|sled|ok,"[2, 6]"
42,simple_examples,dlaň,sg,L,dlani,f,dlaň,dlan,i,[4],dlaň,[]
43,simple_examples,kvet,pl,A,kvety,mi,zápas,kvet,y,[4],kvet,[]
44,simple_examples,práca,pl,D,prácam,f,práca,prác,am,[4],prác|a,[4]
45,simple_examples,dieťa,sg,L,dieťati,n,V-dieťa,dieťat,i,[6],dieť|a,[4]
46,simple_examples,syn,pl,A,synov,mp,syn,syn,ov,[3],syn,[]
47,simple_examples,človek,pl,N,ľudia,mp,V-človek,ľud,ia,[3],človek,[]
48,simple_examples,brat,pl,L,bratoch,mp,priateľ,brat,och,[4],brat,[]
49,simple_examples,more,pl,G,morí,n,V-more,mor,í,[3],mor|e,[3]
50,simple_examples,kosť,pl,L,kostiach,f,možnosť,kost,iach,[4],kosť,[]
51,random_general,tuzemec,pl,A,tuzemcov,mp,chlapec,tuzemc,ov,[6],tu|zem|ec,"[2, 5]"
52,random_general,nadutec,sg,G,nadutca,mp,chlapec,nadutc,a,[6],na|du|t|ec,"[2, 4, 5]"
53,random_general,klamnosť,pl,A,klamnosti,f,možnosť,klamnost,i,[8],klam|n|osť,"[4, 5]"
54,random_general,pevec,pl,L,pevcoch,mp,chlapec,pevc,och,[4],pev|ec,[3]
55,random_general,árijec,sg,A,árijca,mp,chlapec,árijc,a,[5],árij|ec,[4]
56,random_general,broskyňa,pl,A,broskyne,f,ulica,broskyn,e,[7],brosk|yň|a,"[5, 7]"
57,random_general,pričňa,sg,G,prične,f,poisťovňa,prične,ø,[],prič|ň|a,"[4, 5]"
58,random_general,chlapec,sg,A,chlapca,mp,chlapec,chlapc,a,[6],chlap|ec,[5]
59,random_general,alibizmus,sg,D,alibizmu,mi,problém,alibizm,u,[7],alib|izm|us,"[4, 7]"
60,random_general,kolegyňa,sg,G,kolegyne,f,ulica,kolegyn,e,[7],koleg|yň|a,"[5, 7]"
61,random_general,dyňa,pl,I,dyňami,f,ulica,dyň,ami,[3],dyň|a,[3]
62,random_general,orgazmus,sg,L,orgazme,mi,problém,orgazm,e,[6],org|azm|us,"[3, 6]"
63,random_general,impérium,sg,G,impéria,n,médium,impér,ia,[5],impéri|um,[6]
64,random_general,marazmus,pl,A,marazmy,mi,problém,marazm,y,[6],marazm|us,[6]
65,random_general,grémium,sg,A,grémium,n,médium,grémi,um,[5],grémi|um,[5]
66,random_general,lyžiareň,pl,A,lyžiarne,f,elektráreň,lyžiarn,e,[7],lyž|iareň,[3]
67,random_general,vášeň,pl,G,vášní,f,elektráreň,vášn,í,[4],vášeň,[]
68,random_general,huňa,sg,A,huňu,f,poisťovňa,huňu,ø,[],huň|a,[3]
69,random_general,tieseň,sg,L,tiesni,f,elektráreň,tiesn,i,[5],tieseň,[]
70,random_general,baliareň,sg,D,baliarni,f,elektráreň,baliarn,i,[7],bal|iareň,[3]
71,random_general,chladiareň,pl,N,chladiarne,f,elektráreň,chladiarn,e,[9],chlad|iareň,[5]
72,random_general,babizňa,pl,N,babizne,f,poisťovňa,babizne,ø,[],bab|izň|a,"[3, 6]"
73,random_general,taviareň,sg,A,taviareň,f,elektráreň,taviareň,ø,[],tav|iareň,[3]
74,random_general,kaviareň,pl,A,kaviarne,f,elektráreň,kaviarn,e,[7],kav|iareň,[3]
75,random_general,škraňa,sg,G,škrane,f,poisťovňa,škrane,ø,[],škraň|a,[5]
76,random_general,kalcium,sg,L,kalciu,n,médium,kalc,iu,[4],kalc|i|um,"[4, 5]"
77,random_general,morfium,sg,A,morfium,n,médium,morfi,um,[5],morf|i|um,"[4, 5]"
78,random_general,tórium,sg,G,tória,n,médium,tór,ia,[3],tór|i|um,"[3, 4]"
79,random_general,irídium,sg,D,irídiu,n,médium,iríd,iu,[4],iríd|i|um,"[4, 5]"
80,random_general,lýceum,pl,I,lýceami,n,médium,lýce,ami,[4],lýce|um,[4]
81,random_general,bór,pl,I,bórmi,mi,zápas,bór,mi,[3],bór,[]
82,random_general,nedorozumenie,pl,L,nedorozumeniach,n,stretnutie,nedorozumen,iach,[11],ne|do|roz|um|en|ie,"[2, 4, 7, 9, 11]"
83,random_general,špurtér,sg,G,špurtéra,mp,chlap,špurtér,a,[7],špurt|ér,[5]
84,random_general,črievica,sg,I,črievicou,f,ulica,črievic,ou,[7],čriev|ic|a,"[5, 7]"
85,random_general,povalnica,pl,A,povalnice,f,ulica,povalnic,e,[8],poval|nic|a,"[5, 8]"
86,random_general,dokázateľnosť,pl,D,dokázateľnostiam,f,možnosť,dokázateľnost,iam,[13],do|káz|ateľn|osť,"[2, 5, 10]"
87,random_general,dekan,sg,I,dekanom,mp,chlap,dekan,om,[5],dek|an,[3]
88,random_general,automotoklub,pl,L,automotokluboch,mi,zápas,automotoklub,och,[12],aut|o|mot|o|klub,"[3, 4, 7, 8]"
89,random_general,racionalizátor,sg,L,racionalizátorovi,mp,chlap,racionalizátor,ovi,[14],raci|onal|izát|or,"[4, 8, 12]"
90,random_general,výslednica,pl,I,výslednicami,f,ulica,výslednic,ami,[9],vý|sled|n|ic|a,"[2, 6, 7, 9]"
91,random_general,žobrák,sg,G,žobráka,mp,chlap,žobrák,a,[6],žobr|ák,[4]
92,random_general,ničomník,sg,D,ničomníkovi,mp,chlap,ničomník,ovi,[8],nič|omn|ík,"[3, 6]"
93,random_general,plavčík,pl,I,plavčíkmi,mp,chlap,plavčík,mi,[7],plav|čík,[4]
94,random_general,vážnosť,sg,A,vážnosť,f,možnosť,vážnosť,ø,[],váž|n|osť,"[3, 4]"
95,random_general,lump,pl,D,lumpom,mp,chlap,lump,om,[4],lump,[]
96,random_general,čeľustie,sg,I,čeľustím,n,stretnutie,čeľust,ím,[6],čeľust|ie,[6]
97,random_general,súkvetie,pl,G,súkvetí,n,stretnutie,súkvet,í,[6],sú|kvet|ie,"[2, 6]"
98,random_general,blazeovanosť,pl,N,blazeovanosti,f,možnosť,blazeovanost,i,[12],blaze|ovan|osť,"[5, 9]"
99,random_general,biceps,sg,G,bicepsu,mi,zápas,biceps,u,[6],bi|ceps,[2]
100,random_general,vajcorodosť,sg,A,vajcorodosť,f,možnosť,vajcorodosť,ø,[],vajc|o|rod|osť,"[4, 5, 8]"
101,random_general,chápanie,pl,G,chápaní,n,stretnutie,chápan,í,[6],cháp|an|ie,"[4, 6]"
102,random_general,schizofrenik,pl,A,schizofrenikov,mp,chlap,schizofrenik,ov,[12],schiz|o|fren|ik,"[5, 6, 10]"
103,random_general,nadchod,pl,G,nadchodov,mi,zápas,nadchod,ov,[7],nad|chod,[3]
104,random_general,konjunkturálnosť,sg,G,konjunkturálnosti,f,možnosť,konjunkturálnost,i,[16],konjunkt|ur|áln|osť,"[8, 10, 13]"
105,random_general,exulant,sg,I,exulantom,mp,chlap,exulant,om,[7],exul|ant,[4]
106,random_general,elementárnosť,sg,G,elementárnosti,f,možnosť,elementárnost,i,[13],el|ement|árn|osť,"[2, 7, 10]"
107,random_general,aids,pl,D,aidsom,mi,zápas,aids,om,[4],aids,[]
108,random_general,mnohosť,sg,G,mnohosti,f,možnosť,mnohost,i,[7],mnoh|osť,[4]
109,random_general,svetonáhľad,sg,D,svetonáhľadu,mi,zápas,svetonáhľad,u,[11],svet|o|ná|hľad,"[4, 5, 7]"
110,random_general,ťažkopádnosť,pl,I,ťažkopádnosťami,f,možnosť,ťažkopádnosť,ami,[12],ťaž|k|o|pád|n|osť,"[3, 4, 5, 8, 9]"
111,random_general,podozrievavosť,pl,D,podozrievavostiam,f,možnosť,podozrievavost,iam,[14],podozr|iev|av|osť,"[6, 9, 11]"
112,random_general,prakticista,pl,N,prakticisti,mp,futbalista,prakticist,i,[10],prakt|ic|ist|a,"[5, 7, 10]"
113,random_general,septimán,pl,N,septimáni,mp,chlap,septimán,i,[8],septim|án,[6]
114,random_general,poradie,sg,D,poradiu,n,stretnutie,porad,iu,[5],po|rad|ie,"[2, 5]"
115,random_general,štekot,sg,A,štekot,mi,zápas,štekot,ø,[],štek|ot,[4]
116,random_general,drobnochov,pl,G,drobnochovov,mi,zápas,drobnochov,ov,[10],drob|n|o|chov,"[4, 5, 6]"
117,random_general,prekážkar,pl,A,prekážkarov,mp,chlap,prekážkar,ov,[9],pre|káž|k|ar,"[3, 6, 7]"
118,random_general,nekalosť,sg,I,nekalosťou,f,možnosť,nekalosť,ou,[8],nekal|osť,[5]
119,random_general,elektromechanik,sg,L,elektromechanikovi,mp,chlap,elektromechanik,ovi,[15],elektr|o|mechan|ik,"[6, 7, 13]"
120,random_general,úchylkár,pl,N,úchylkári,mp,chlap,úchylkár,i,[8],ú|chyl|k|ár,"[1, 5, 6]"
121,random_general,papierovosť,pl,L,papierovostiach,f,možnosť,papierovost,iach,[11],papier|ov|osť,"[6, 8]"
122,random_general,pohostinnosť,pl,G,pohostinností,f,možnosť,pohostinnost,í,[12],po|host|inn|osť,"[2, 6, 9]"
123,random_general,roztúženosť,pl,N,roztúženosti,f,možnosť,roztúženost,i,[11],roz|túž|en|osť,"[3, 6, 8]"
124,random_general,opojenie,sg,A,opojenie,n,stretnutie,opojen,ie,[6],o|poj|en|ie,"[1, 4, 6]"
125,random_general,kontrabas,sg,A,kontrabas,mi,zápas,kontrabas,ø,[],kontra|bas,[6]
126,random_general,impresionista,sg,L,impresionistovi,mp,futbalista,impresionist,ovi,[12],im|pres|i|onist|a,"[2, 6, 7, 12]"
127,random_general,evanjelik,pl,N,evanjelici,mp,chlap,evanjelic,i,[9],ev|anjel|ik,"[2, 7]"
128,random_general,optimista,sg,G,optimistu,mp,futbalista,optimist,u,[8],optim|ist|a,"[5, 8]"
129,random_general,prézent,sg,L,prézente,mi,zápas,prézent,e,[7],préz|ent,[4]
130,random_general,zvrátenosť,sg,G,zvrátenosti,f,možnosť,zvrátenost,i,[10],z|vrát|en|osť,"[1, 5, 7]"
131,random_general,heraklit,sg,D,heraklitu,mi,zápas,heraklit,u,[8],heraklit,[]
132,random_general,charleston,pl,I,charlestonmi,mi,zápas,charleston,mi,[10],charleston,[]
133,random_general,súbor,pl,D,súborom,mi,zápas,súbor,om,[5],sú|bor,[2]
134,random_general,hladomor,sg,G,hladomoru,mi,zápas,hladomor,u,[8],hlad|o|mor,"[4, 5]"
135,random_general,prianie,sg,L,prianí,n,stretnutie,prian,í,[5],pria|n|ie,"[4, 5]"
136,random_general,vehementnosť,sg,D,vehementnosti,f,možnosť,vehementnost,i,[12],vehem|ent|n|osť,"[5, 8, 9]"
137,random_general,farbitosť,pl,N,farbitosti,f,možnosť,farbitost,i,[9],farb|itosť,[4]
138,random_general,vzlínavosť,pl,N,vzlínavosti,f,možnosť,vzlínavost,i,[10],vz|lín|av|osť,"[2, 5, 7]"
139,random_general,fachman,sg,G,fachmana,mp,chlap,fachman,a,[7],fach|man,[4]
140,random_general,brucháč,sg,A,brucháča,mp,chlap,brucháč,a,[7],bruch|áč,[5]
141,random_general,parapet,pl,N,parapety,mi,zápas,parapet,y,[7],parapet,[]
142,random_general,nestraník,pl,L,nestraníkoch,mp,chlap,nestraník,och,[9],ne|stran|ík,"[2, 7]"
143,random_general,dobrovoľnosť,sg,A,dobrovoľnosť,f,možnosť,dobrovoľnosť,ø,[],dobr|o|voľ|n|osť,"[4, 5, 8, 9]"
144,random_general,ultramodernosť,pl,G,ultramoderností,f,možnosť,ultramodernost,í,[14],ultra|modern|osť,"[5, 11]"
145,random_general,röntgen,sg,L,röntgene,mi,zápas,röntgen,e,[7],röntgen,[]
146,random_general,hriate,pl,A,hriate,n,hriate,hriat,e,[5],hria|t|e,"[4, 5]"
147,random_general,skĺznica,pl,I,skĺznicami,f,ulica,skĺznic,ami,[7],s|kĺz|nic|a,"[1, 4, 7]"
148,random_general,šklban,sg,D,šklbanovi,mp,chlap,šklban,ovi,[6],šklb|an,[4]
149,random_general,sprosták,sg,D,sprostákovi,mp,chlap,sprosták,ovi,[8],sprost|ák,[6]
150,random_general,piskot,pl,L,piskotoch,mi,zápas,piskot,och,[6],pisk|ot,[4]
151,random_general,protirečenie,pl,N,protirečenia,n,stretnutie,protirečen,ia,[10],proti|reč|en|ie,"[5, 8, 10]"
152,random_general,mnohovýznamnosť,sg,A,mnohovýznamnosť,f,možnosť,mnohovýznamnosť,ø,[],mnoh|o|vý|znam|n|osť,"[4, 5, 7, 11, 12]"
153,random_general,klub,pl,N,kluby,mi,zápas,klub,y,[4],klub,[]
154,random_general,pozitívnosť,sg,D,pozitívnosti,f,možnosť,pozitívnost,i,[11],poz|it|ív|n|osť,"[3, 5, 7, 8]"
155,random_general,prierez,sg,D,prierezu,mi,zápas,prierez,u,[7],prie|rez,[4]
156,random_general,ťulpas,pl,D,ťulpasom,mp,chlap,ťulpas,om,[6],ťulpas,[]
157,random_general,tyrkys,sg,I,tyrkysom,mi,zápas,tyrkys,om,[6],tyrkys,[]
158,random_general,senátor,pl,I,senátormi,mp,chlap,senátor,mi,[7],sen|át|or,"[3, 5]"
159,random_general,dvojstrannosť,pl,G,dvojstranností,f,možnosť,dvojstrannost,í,[13],dv|oj|stran|n|osť,"[2, 4, 9, 10]"
160,random_general,výžin,sg,D,výžinu,mi,zápas,výžin,u,[5],vý|žin,[2]
161,random_general,nerozumnosť,pl,I,nerozumnosťami,f,možnosť,nerozumnosť,ami,[11],ne|roz|um|n|osť,"[2, 5, 7, 8]"
162,random_general,krštenie,sg,A,krštenie,n,stretnutie,kršten,ie,[6],kršt|en|ie,"[4, 6]"
163,random_general,fotogenickosť,sg,L,fotogenickosti,f,možnosť,fotogenickost,i,[13],fot|o|gen|ick|osť,"[3, 4, 7, 10]"
164,random_general,plynotesnosť,pl,L,plynotesnostiach,f,možnosť,plynotesnost,iach,[12],plyn|o|tesn|osť,"[4, 5, 9]"
165,random_general,prechmat,pl,D,prechmatom,mi,zápas,prechmat,om,[8],pre|chmat,[3]
166,random_general,rozumnosť,sg,I,rozumnosťou,f,možnosť,rozumnosť,ou,[9],roz|um|n|osť,"[3, 5, 6]"
167,random_general,eufonickosť,sg,D,eufonickosti,f,možnosť,eufonickost,i,[11],eu|fon|ick|osť,"[2, 5, 8]"
168,random_general,najdúch,pl,I,najdúchmi,mp,chlap,najdúch,mi,[7],najd|úch,[4]
169,random_general,štras,sg,D,štrasu,mi,zápas,štras,u,[5],štras,[]
170,random_general,štedrák,pl,I,štedrákmi,mp,chlap,štedrák,mi,[7],štedr|ák,[5]
171,random_general,síran,pl,G,síranov,mi,zápas,síran,ov,[5],sír|an,[3]
172,random_general,chatrnosť,pl,N,chatrnosti,f,možnosť,chatrnost,i,[9],chatr|n|osť,"[5, 6]"
173,random_general,amulet,pl,I,amuletmi,mi,zápas,amulet,mi,[6],amulet,[]
174,random_general,eurodlhopis,pl,G,eurodlhopisov,mi,zápas,eurodlhopis,ov,[11],eur|o|dlh|o|pis,"[3, 4, 7, 8]"
175,random_general,hlaváň,pl,N,hlaváni,mp,chlap,hlaván,i,[6],hlav|áň,[4]
176,random_general,imbecil,pl,D,imbecilom,mp,chlap,imbecil,om,[7],imbecil,[]
177,random_general,háklivosť,sg,I,háklivosťou,f,možnosť,háklivosť,ou,[9],hákl|iv|osť,"[4, 6]"
178,random_general,sietnica,sg,L,sietnici,f,ulica,sietnic,i,[7],siet|nic|a,"[4, 7]"
179,random_general,mihalnica,sg,G,mihalnice,f,ulica,mihalnic,e,[8],mih|alnic|a,"[3, 8]"
180,random_general,kreslič,sg,G,kresliča,mp,chlap,kreslič,a,[7],kres|l|ič,"[4, 5]"
181,random_general,pedikér,pl,L,pedikéroch,mp,chlap,pedikér,och,[7],ped|i|k|ér,"[3, 4, 5]"
182,random_general,projektant,pl,G,projektantov,mp,chlap,projektant,ov,[10],projekt|ant,[7]
183,random_general,ľubovoľnosť,sg,A,ľubovoľnosť,f,možnosť,ľubovoľnosť,ø,[],ľub|o|voľ|n|osť,"[3, 4, 7, 8]"
184,random_general,žoržet,pl,G,žoržetov,mi,zápas,žoržet,ov,[6],žoržet,[]
185,random_general,napínavosť,pl,G,napínavostí,f,možnosť,napínavost,í,[10],na|pín|av|osť,"[2, 5, 7]"
186,random_general,táravosť,pl,I,táravosťami,f,možnosť,táravosť,ami,[8],tár|av|osť,"[3, 5]"
187,random_general,kolíznosť,pl,N,kolíznosti,f,možnosť,kolíznost,i,[9],kolíz|n|osť,"[5, 6]"
188,random_general,riešenie,sg,I,riešením,n,stretnutie,riešen,ím,[6],rieš|en|ie,"[4, 6]"
189,random_general,personálnosť,pl,I,personálnosťami,f,možnosť,personálnosť,ami,[12],person|ál|n|osť,"[6, 8, 9]"
190,random_general,keratín,sg,G,keratínu,mi,zápas,keratín,u,[7],kerat|ín,[5]
191,random_general,hymnus,sg,A,hymnus,mi,zápas,hymnus,ø,[],hymn|us,[4]
192,random_general,prievoz,pl,G,prievozov,mi,zápas,prievoz,ov,[7],prie|voz,[4]
193,random_general,dobrosrdečnosť,pl,G,dobrosrdečností,f,možnosť,dobrosrdečnost,í,[14],dobr|o|srd|eč|n|osť,"[4, 5, 8, 10, 11]"
194,random_general,psovod,pl,G,psovodov,mp,chlap,psovod,ov,[6],ps|o|vod,"[2, 3]"
195,random_general,džbankár,pl,N,džbankári,mp,chlap,džbankár,i,[8],džban|k|ár,"[5, 6]"
196,random_general,fičúr,sg,G,fičúra,mp,chlap,fičúr,a,[5],fičúr,[]
197,random_general,svojvoľnosť,sg,A,svojvoľnosť,f,možnosť,svojvoľnosť,ø,[],svoj|voľ|n|osť,"[4, 7, 8]"
198,random_general,aparátnik,sg,A,aparátnika,mp,chlap,aparátnik,a,[9],aparát|nik,[6]
199,random_general,šiplavosť,sg,L,šiplavosti,f,možnosť,šiplavost,i,[9],šipl|av|osť,"[4, 6]"
200,random_general,hmlovitosť,sg,D,hmlovitosti,f,možnosť,hmlovitost,i,[10],hml|ovit|osť,"[3, 7]"
201,random_general,muž,sg,G,muža,mp,chlap,muž,a,[3],muž,[]
202,random_general,antigén,pl,A,antigény,mi,zápas,antigén,y,[7],anti|gén,[4]
203,random_general,financ,sg,A,financa,mp,chlap,financ,a,[6],financ,[]
204,random_general,snúbenica,pl,I,snúbenicami,f,ulica,snúbenic,ami,[8],snúb|en|ic|a,"[4, 6, 8]"
205,random_general,debil,sg,D,debilovi,mp,chlap,debil,ovi,[5],debil,[]
206,random_general,zbrojnica,pl,A,zbrojnice,f,ulica,zbrojnic,e,[8],z|broj|nic|a,"[1, 5, 8]"
207,random_general,ústupčivosť,sg,G,ústupčivosti,f,možnosť,ústupčivost,i,[11],ú|stup|čiv|osť,"[1, 5, 8]"
208,random_general,výpravnosť,sg,I,výpravnosťou,f,možnosť,výpravnosť,ou,[10],vý|prav|n|osť,"[2, 6, 7]"
209,random_general,kupón,pl,I,kupónmi,mi,zápas,kupón,mi,[5],kupón,[]
210,random_general,kolportér,sg,G,kolportéra,mp,chlap,kolportér,a,[9],kolport|ér,[7]
211,random_general,chaos,sg,D,chaosu,mi,zápas,chaos,u,[5],chaos,[]
212,random_general,insinuant,sg,G,insinuanta,mp,chlap,insinuant,a,[9],insinu|ant,[6]
213,random_general,zázračník,pl,N,zázračníci,mp,chlap,zázračníc,i,[9],zázrač|n|ík,"[6, 7]"
214,random_general,ultrapravica,pl,A,ultrapravice,f,ulica,ultrapravic,e,[11],ultra|prav|ic|a,"[5, 9, 11]"
215,random_general,toluén,pl,I,toluénmi,mi,zápas,toluén,mi,[6],tolu|én,[4]
216,random_general,protivnosť,pl,G,protivností,f,možnosť,protivnost,í,[10],protiv|n|osť,"[6, 7]"
217,random_general,prídel,pl,I,prídelmi,mi,zápas,prídel,mi,[6],prí|del,[3]
218,random_general,pojašenosť,pl,G,pojašeností,f,možnosť,pojašenost,í,[10],po|jaš|en|osť,"[2, 5, 7]"
219,random_general,nefalšovanosť,sg,L,nefalšovanosti,f,možnosť,nefalšovanost,i,[13],ne|falš|ov|an|osť,"[2, 6, 8, 10]"
220,random_general,uzlovitosť,pl,I,uzlovitosťami,f,možnosť,uzlovitosť,ami,[10],uzl|ovit|osť,"[3, 7]"
221,random_general,inseminátor,sg,A,inseminátora,mp,chlap,inseminátor,a,[11],in|semin|át|or,"[2, 7, 9]"
222,random_general,prelát,pl,A,prelátov,mp,chlap,prelát,ov,[6],prelát,[]
223,random_general,hotovosť,sg,I,hotovosťou,f,možnosť,hotovosť,ou,[8],hotov|osť,[5]
224,random_general,operatér,sg,D,operatérovi,mp,chlap,operatér,ovi,[8],oper|at|ér,"[4, 6]"
225,random_general,čitateľnosť,sg,D,čitateľnosti,f,možnosť,čitateľnost,i,[11],čit|ateľn|osť,"[3, 8]"
226,random_general,paralelnosť,sg,I,paralelnosťou,f,možnosť,paralelnosť,ou,[11],paralel|n|osť,"[7, 8]"
227,random_general,tradicionalista,sg,A,tradicionalistu,mp,futbalista,tradicionalist,u,[14],trad|ici|onalist|a,"[4, 7, 14]"
228,random_general,bigotnosť,sg,A,bigotnosť,f,možnosť,bigotnosť,ø,[],bigot|n|osť,"[5, 6]"
229,random_general,úval,sg,L,úvale,mi,zápas,úval,e,[4],ú|val,[1]
230,random_general,dobročinnosť,sg,G,dobročinnosti,f,možnosť,dobročinnost,i,[12],dobr|o|čin|n|osť,"[4, 5, 8, 9]"
231,random_general,donášač,sg,G,donášača,mp,chlap,donášač,a,[7],do|náš|ač,"[2, 5]"
232,random_general,audiovýstup,sg,D,audiovýstupu,mi,zápas,audiovýstup,u,[11],audi|o|vý|stup,"[4, 5, 7]"
233,random_general,slizovitosť,pl,G,slizovitostí,f,možnosť,slizovitost,í,[11],sliz|ovit|osť,"[4, 8]"
234,random_general,rys,pl,A,rysy,ma,had,rys,y,[3],rys,[]
235,random_general,odbor,pl,D,odborom,mi,zápas,odbor,om,[5],odbor,[]
236,random_general,rozľahlosť,sg,D,rozľahlosti,f,možnosť,rozľahlost,i,[10],roz|ľah|l|osť,"[3, 6, 7]"
237,random_general,fujavica,pl,G,fujavíc,f,ulica,fujavíc,ø,[],fuj|avic|a,"[3, 7]"
238,random_general,filharmonik,pl,G,filharmonikov,mp,chlap,filharmonik,ov,[11],fil|harmon|ik,"[3, 9]"
239,random_general,skľúčenosť,pl,I,skľúčenosťami,f,možnosť,skľúčenosť,ami,[10],skľúč|en|osť,"[5, 7]"
240,random_general,revanšista,sg,D,revanšistovi,mp,futbalista,revanšist,ovi,[9],revanš|ist|a,"[6, 9]"
241,random_general,priepasť,sg,A,priepasť,f,možnosť,priepasť,ø,[],prie|pasť,[4]
242,random_general,súvetie,sg,G,súvetia,n,stretnutie,súvet,ia,[5],sú|vet|ie,"[2, 5]"
243,random_general,neočakávanosť,pl,D,neočakávanostiam,f,možnosť,neočakávanost,iam,[13],ne|o|čak|áv|an|osť,"[2, 3, 6, 8, 10]"
244,random_general,ťarchavosť,pl,I,ťarchavosťami,f,možnosť,ťarchavosť,ami,[10],ťarch|av|osť,"[5, 7]"
245,random_general,pamäť,sg,G,pamäti,f,možnosť,pamät,i,[5],pamäť,[]
246,random_general,apretátor,pl,D,apretátorom,mp,chlap,apretátor,om,[9],apret|át|or,"[5, 7]"
247,random_general,fujarista,pl,A,fujaristov,mp,futbalista,fujarist,ov,[8],fujar|ist|a,"[5, 8]"
248,random_general,krov,pl,D,krovom,mi,zápas,krov,om,[4],kro|v,[3]
249,random_general,fixír,sg,L,fixíre,mi,zápas,fixír,e,[5],fix|ír,[3]
250,random_general,irelevantnosť,pl,G,irelevantností,f,možnosť,irelevantnost,í,[13],i|relev|antn|osť,"[1, 6, 10]"
